Var1,community,communityno
7Networks_LH_Vis_1,Vis,1
7Networks_LH_Vis_2,Vis,1
7Networks_LH_Vis_3,Vis,1
7Networks_LH_Vis_4,Vis,1
7Networks_LH_Vis_5,Vis,1
7Networks_LH_Vis_6,Vis,1
7Networks_LH_Vis_7,Vis,1
7Networks_LH_Vis_8,Vis,1
7Networks_LH_Vis_9,Vis,1
7Networks_LH_Vis_10,Vis,1
7Networks_LH_Vis_11,Vis,1
7Networks_LH_Vis_12,Vis,1
7Networks_LH_Vis_13,Vis,1
7Networks_LH_Vis_14,Vis,1
7Networks_LH_SomMot_1,SomMot,2
7Networks_LH_SomMot_2,SomMot,2
7Networks_LH_SomMot_3,SomMot,2
7Networks_LH_SomMot_4,SomMot,2
7Networks_LH_SomMot_5,SomMot,2
7Networks_LH_SomMot_6,SomMot,2
7Networks_LH_SomMot_7,SomMot,2
7Networks_LH_SomMot_8,SomMot,2
7Networks_LH_SomMot_9,SomMot,2
7Networks_LH_SomMot_10,SomMot,2
7Networks_LH_SomMot_11,SomMot,2
7Networks_LH_SomMot_12,SomMot,2
7Networks_LH_SomMot_13,SomMot,2
7Networks_LH_SomMot_14,SomMot,2
7Networks_LH_SomMot_15,SomMot,2
7Networks_LH_SomMot_16,SomMot,2
7Networks_LH_DorsAttn_Post_1,DorsAttn,3
7Networks_LH_DorsAttn_Post_2,DorsAttn,3
7Networks_LH_DorsAttn_Post_3,DorsAttn,3
7Networks_LH_DorsAttn_Post_4,DorsAttn,3
7Networks_LH_DorsAttn_Post_5,DorsAttn,3
7Networks_LH_DorsAttn_Post_6,DorsAttn,3
7Networks_LH_DorsAttn_Post_7,DorsAttn,3
7Networks_LH_DorsAttn_Post_8,DorsAttn,3
7Networks_LH_DorsAttn_Post_9,DorsAttn,3
7Networks_LH_DorsAttn_Post_10,DorsAttn,3
7Networks_LH_DorsAttn_FEF_1,DorsAttn,3
7Networks_LH_DorsAttn_FEF_2,DorsAttn,3
7Networks_LH_DorsAttn_PrCv_1,DorsAttn,3
7Networks_LH_SalVentAttn_ParOper_1,SalVentAttn,4
7Networks_LH_SalVentAttn_ParOper_2,SalVentAttn,4
7Networks_LH_SalVentAttn_ParOper_3,SalVentAttn,4
7Networks_LH_SalVentAttn_FrOper_1,SalVentAttn,4
7Networks_LH_SalVentAttn_FrOper_2,SalVentAttn,4
7Networks_LH_SalVentAttn_FrOper_3,SalVentAttn,4
7Networks_LH_SalVentAttn_FrOper_4,SalVentAttn,4
7Networks_LH_SalVentAttn_PFCl_1,SalVentAttn,4
7Networks_LH_SalVentAttn_Med_1,SalVentAttn,4
7Networks_LH_SalVentAttn_Med_2,SalVentAttn,4
7Networks_LH_SalVentAttn_Med_3,SalVentAttn,4
7Networks_LH_Limbic_OFC_1,Limbic,5
7Networks_LH_Limbic_OFC_2,Limbic,5
7Networks_LH_Limbic_TempPole_1,Limbic,5
7Networks_LH_Limbic_TempPole_2,Limbic,5
7Networks_LH_Limbic_TempPole_3,Limbic,5
7Networks_LH_Limbic_TempPole_4,Limbic,5
7Networks_LH_Cont_Par_1,Cont,6
7Networks_LH_Cont_Par_2,Cont,6
7Networks_LH_Cont_Par_3,Cont,6
7Networks_LH_Cont_Temp_1,Cont,6
7Networks_LH_Cont_PFCl_1,Cont,6
7Networks_LH_Cont_PFCl_2,Cont,6
7Networks_LH_Cont_PFCl_3,Cont,6
7Networks_LH_Cont_PFCl_4,Cont,6
7Networks_LH_Cont_PFCl_5,Cont,6
7Networks_LH_Cont_PFCl_6,Cont,6
7Networks_LH_Cont_pCun_1,Cont,6
7Networks_LH_Cont_Cing_1,Cont,6
7Networks_LH_Cont_Cing_2,Cont,6
7Networks_LH_Default_Temp_1,Default,7
7Networks_LH_Default_Temp_2,Default,7
7Networks_LH_Default_Temp_3,Default,7
7Networks_LH_Default_Temp_4,Default,7
7Networks_LH_Default_Temp_5,Default,7
7Networks_LH_Default_Temp_6,Default,7
7Networks_LH_Default_Temp_7,Default,7
7Networks_LH_Default_Temp_8,Default,7
7Networks_LH_Default_Temp_9,Default,7
7Networks_LH_Default_PFC_1,Default,7
7Networks_LH_Default_PFC_2,Default,7
7Networks_LH_Default_PFC_3,Default,7
7Networks_LH_Default_PFC_4,Default,7
7Networks_LH_Default_PFC_5,Default,7
7Networks_LH_Default_PFC_6,Default,7
7Networks_LH_Default_PFC_7,Default,7
7Networks_LH_Default_PFC_8,Default,7
7Networks_LH_Default_PFC_9,Default,7
7Networks_LH_Default_PFC_10,Default,7
7Networks_LH_Default_PFC_11,Default,7
7Networks_LH_Default_PFC_12,Default,7
7Networks_LH_Default_PFC_13,Default,7
7Networks_LH_Default_PCC_1,Default,7
7Networks_LH_Default_PCC_2,Default,7
7Networks_LH_Default_PCC_3,Default,7
7Networks_LH_Default_PCC_4,Default,7
7Networks_LH_Default_PHC_1,Default,7
7Networks_RH_Vis_1,Vis,1
7Networks_RH_Vis_2,Vis,1
7Networks_RH_Vis_3,Vis,1
7Networks_RH_Vis_4,Vis,1
7Networks_RH_Vis_5,Vis,1
7Networks_RH_Vis_6,Vis,1
7Networks_RH_Vis_7,Vis,1
7Networks_RH_Vis_8,Vis,1
7Networks_RH_Vis_9,Vis,1
7Networks_RH_Vis_10,Vis,1
7Networks_RH_Vis_11,Vis,1
7Networks_RH_Vis_12,Vis,1
7Networks_RH_Vis_13,Vis,1
7Networks_RH_Vis_14,Vis,1
7Networks_RH_Vis_15,Vis,1
7Networks_RH_SomMot_1,SomMot,2
7Networks_RH_SomMot_2,SomMot,2
7Networks_RH_SomMot_3,SomMot,2
7Networks_RH_SomMot_4,SomMot,2
7Networks_RH_SomMot_5,SomMot,2
7Networks_RH_SomMot_6,SomMot,2
7Networks_RH_SomMot_7,SomMot,2
7Networks_RH_SomMot_8,SomMot,2
7Networks_RH_SomMot_9,SomMot,2
7Networks_RH_SomMot_10,SomMot,2
7Networks_RH_SomMot_11,SomMot,2
7Networks_RH_SomMot_12,SomMot,2
7Networks_RH_SomMot_13,SomMot,2
7Networks_RH_SomMot_14,SomMot,2
7Networks_RH_SomMot_15,SomMot,2
7Networks_RH_SomMot_16,SomMot,2
7Networks_RH_SomMot_17,SomMot,2
7Networks_RH_SomMot_18,SomMot,2
7Networks_RH_SomMot_19,SomMot,2
7Networks_RH_DorsAttn_Post_1,DorsAttn,3
7Networks_RH_DorsAttn_Post_2,DorsAttn,3
7Networks_RH_DorsAttn_Post_3,DorsAttn,3
7Networks_RH_DorsAttn_Post_4,DorsAttn,3
7Networks_RH_DorsAttn_Post_5,DorsAttn,3
7Networks_RH_DorsAttn_Post_6,DorsAttn,3
7Networks_RH_DorsAttn_Post_7,DorsAttn,3
7Networks_RH_DorsAttn_Post_8,DorsAttn,3
7Networks_RH_DorsAttn_Post_9,DorsAttn,3
7Networks_RH_DorsAttn_Post_10,DorsAttn,3
7Networks_RH_DorsAttn_FEF_1,DorsAttn,3
7Networks_RH_DorsAttn_FEF_2,DorsAttn,3
7Networks_RH_DorsAttn_PrCv_1,DorsAttn,3
7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn,4
7Networks_RH_SalVentAttn_TempOccPar_2,SalVentAttn,4
7Networks_RH_SalVentAttn_TempOccPar_3,SalVentAttn,4
7Networks_RH_SalVentAttn_PrC_1,SalVentAttn,4
7Networks_RH_SalVentAttn_FrOper_1,SalVentAttn,4
7Networks_RH_SalVentAttn_FrOper_2,SalVentAttn,4
7Networks_RH_SalVentAttn_FrOper_3,SalVentAttn,4
7Networks_RH_SalVentAttn_FrOper_4,SalVentAttn,4
7Networks_RH_SalVentAttn_Med_1,SalVentAttn,4
7Networks_RH_SalVentAttn_Med_2,SalVentAttn,4
7Networks_RH_SalVentAttn_Med_3,SalVentAttn,4
7Networks_RH_Limbic_OFC_1,Limbic,5
7Networks_RH_Limbic_OFC_2,Limbic,5
7Networks_RH_Limbic_OFC_3,Limbic,5
7Networks_RH_Limbic_TempPole_1,Limbic,5
7Networks_RH_Limbic_TempPole_2,Limbic,5
7Networks_RH_Limbic_TempPole_3,Limbic,5
7Networks_RH_Cont_Par_1,Cont,6
7Networks_RH_Cont_Par_2,Cont,6
7Networks_RH_Cont_Par_3,Cont,6
7Networks_RH_Cont_Temp_1,Cont,6
7Networks_RH_Cont_PFCv_1,Cont,6
7Networks_RH_Cont_PFCl_1,Cont,6
7Networks_RH_Cont_PFCl_2,Cont,6
7Networks_RH_Cont_PFCl_3,Cont,6
7Networks_RH_Cont_PFCl_4,Cont,6
7Networks_RH_Cont_PFCl_5,Cont,6
7Networks_RH_Cont_PFCl_6,Cont,6
7Networks_RH_Cont_PFCl_7,Cont,6
7Networks_RH_Cont_pCun_1,Cont,6
7Networks_RH_Cont_PFCmp_1,Cont,6
7Networks_RH_Cont_PFCmp_2,Cont,6
7Networks_RH_Cont_PFCmp_3,Cont,6
7Networks_RH_Cont_PFCmp_4,Cont,6
7Networks_RH_Default_Par_1,Default,7
7Networks_RH_Default_Par_2,Default,7
7Networks_RH_Default_Par_3,Default,7
7Networks_RH_Default_Temp_1,Default,7
7Networks_RH_Default_Temp_2,Default,7
7Networks_RH_Default_Temp_3,Default,7
7Networks_RH_Default_Temp_4,Default,7
7Networks_RH_Default_Temp_5,Default,7
7Networks_RH_Default_PFCv_1,Default,7
7Networks_RH_Default_PFCm_1,Default,7
7Networks_RH_Default_PFCm_2,Default,7
7Networks_RH_Default_PFCm_3,Default,7
7Networks_RH_Default_PFCm_4,Default,7
7Networks_RH_Default_PFCm_5,Default,7
7Networks_RH_Default_PFCm_6,Default,7
7Networks_RH_Default_PFCm_7,Default,7
7Networks_RH_Default_PCC_1,Default,7
7Networks_RH_Default_PCC_2,Default,7
7Networks_RH_Default_PCC_3,Default,7
